npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1518066950,1359,1518066950,CHRISTIANNE ROUMIE,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,56,87,3.437,13.139,Internal Medicine
1518068832,1359,1518068832,JOSEPH SALLOUM,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,136,153,4.242,19.705,Interventional Cardiology
1518143122,1381,1518143122,DANA CHANDLER,Allopathic & Osteopathic Physicians,Family Medicine,,1861479545,MAURY REGIONAL HOSPITAL,72,159,16.145,21.594,Family Medicine
1518143122,1381,1518143122,DANA CHANDLER,Allopathic & Osteopathic Physicians,Family Medicine,,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,190,701,3.676,18.758,Family Medicine
1518143122,1381,1518143122,DANA CHANDLER,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,47,90,31.411,42.62,Family Medicine
1518161009,1355,1518161009,CHRISTOPHER ENGLISH,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1861479545,MAURY REGIONAL HOSPITAL,133,150,28.607,37.465,Cardiovascular Disease
1518161009,1355,1518161009,CHRISTOPHER ENGLISH,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1568551455,NASHVILLE GENERAL HOSPITAL,129,178,1.472,19.638,Cardiovascular Disease
1518178441,1338,1518178441,MATTHEW DESHAZO,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,1629025648,SAINT THOMAS WEST HOSPITAL,411,1119,1.502,8.967,Advanced Heart Failure and Transplant Cardiology
1518178441,1338,1518178441,MATTHEW DESHAZO,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,1780778969,SAINT THOMAS WEST HOSPITAL,98,126,20.714,45.481,Advanced Heart Failure and Transplant Cardiology
1518178441,1338,1518178441,MATTHEW DESHAZO,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,173,336,7.884,31.269,Advanced Heart Failure and Transplant Cardiology
1518398437,1374,1518398437,RAMY SAYED,Allopathic & Osteopathic Physicians,Internal Medicine,,1992776405,"HCA HEALTH SERVICES OF TENNESSEE, INC.",37,61,5.672,10.242,Internal Medicine
1518914050,1374,1518914050,UKPONG NWANKWO,Allopathic & Osteopathic Physicians,Internal Medicine,,1992776405,"HCA HEALTH SERVICES OF TENNESSEE, INC.",38,73,30.808,53.27,Internal Medicine
1518919000,1374,1518919000,JOHN ZUBKUS,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,1992776405,"HCA HEALTH SERVICES OF TENNESSEE, INC.",181,396,20.669,37.949,Hematology & Oncology
1518919000,1374,1518919000,JOHN ZUBKUS,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,237,380,33.576,54.807,Hematology & Oncology
1518952852,1340,1518952852,MARVIN MEADORS,Allopathic & Osteopathic Physicians,Internal Medicine,Rheumatology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",78,119,41.521,43.095,Rheumatology
